iter	Passed	Remaining
0	136	68246
1	142	35424
2	162	26894
3	167	20761
4	173	17210
5	178	14700
6	183	12909
7	188	11622
8	195	10655
9	200	9847
10	207	9225
11	212	8625
12	217	8135
13	223	7746
14	228	7388
15	233	7077
16	239	6813
17	244	6559
18	250	6342
19	256	6153
20	261	5969
21	267	5816
22	272	5650
23	277	5502
24	283	5386
25	288	5263
26	294	5156
27	301	5076
28	306	4977
29	311	4887
30	317	4808
31	323	4725
32	343	4866
33	349	4787
34	355	4716
35	360	4645
36	365	4576
37	371	4516
38	377	4458
39	382	4395
40	388	4345
41	394	4298
42	399	4245
43	404	4193
44	409	4141
45	414	4094
46	420	4053
47	425	4008
48	431	3970
49	436	3931
50	441	3889
51	447	3857
52	452	3816
53	457	3782
54	463	3749
55	468	3717
56	474	3685
57	479	3654
58	485	3627
59	491	3602
60	497	3577
61	502	3549
62	508	3523
63	513	3497
64	518	3471
65	524	3448
66	529	3424
67	535	3399
68	540	3374
69	545	3353
70	551	3332
71	557	3311
72	562	3290
73	567	3268
74	573	3249
75	579	3232
76	585	3217
77	591	3199
78	597	3184
79	602	3165
80	608	3146
81	613	3129
82	619	3111
83	625	3096
84	630	3079
85	636	3061
86	642	3048
87	647	3032
88	653	3016
89	659	3002
90	664	2987
91	670	2972
92	675	2958
93	681	2941
94	687	2929
95	692	2914
96	698	2901
97	703	2886
98	708	2871
99	714	2857
100	719	2843
101	725	2830
102	730	2816
103	735	2802
104	741	2789
105	746	2776
106	752	2763
107	757	2750
108	763	2737
109	768	2723
110	774	2713
111	779	2701
112	785	2688
113	791	2679
114	797	2668
115	802	2655
116	808	2645
117	813	2634
118	819	2625
119	825	2614
120	830	2602
121	837	2594
122	843	2584
123	848	2574
124	854	2564
125	860	2554
126	867	2546
127	873	2538
128	879	2529
129	885	2521
130	891	2510
131	897	2501
132	903	2492
133	908	2482
134	914	2472
135	920	2463
136	926	2454
137	931	2444
138	937	2435
139	943	2426
140	949	2417
141	956	2411
142	963	2404
143	970	2398
144	976	2390
145	982	2381
146	987	2372
147	993	2362
148	1000	2357
149	1006	2348
150	1011	2338
151	1017	2329
152	1023	2320
153	1029	2313
154	1035	2304
155	1040	2294
156	1046	2285
157	1052	2277
158	1057	2268
